Concept,Question,Option One,Option Two,Option Three,Option Four,Correct Answer,Note
dynamic memory allocation,What operator deallocates memory in C++?,delete,free,clear,destroy,delete,Releases memory.
regular expression,What is a regular expression?,A loop structure,A pattern for matching strings,A data type,A sorting algorithm,A pattern for matching strings,Used for validation.
regular expression,What symbol matches any character in regex?,*,.,+,?,.,Matches a single character.
regular expression,What is a use case for regular expressions?,Fixed data,Input validation,Random access,Filtering data,Input validation,Checks formats like email.
regular expression,What is a benefit of regular expressions?,Increased complexity,Powerful matching,More memory usage,Slower execution,Powerful matching,Handles complex patterns.
regular expression,What is a limitation of regular expressions?,Improved performance,Performance overhead,Low memory usage,Fast execution,Performance overhead,Can be slow for large strings.
map,What is a map in programming?,A sorted list,A key-value pair data structure,A tree structure,A graph structure,A key-value pair data structure,Same as dictionary.
map,What is a key feature of maps?,Fixed size,Fast lookups,Unordered elements,Slow access,Fast lookups,Uses hashing.
map,What is a common operation in a map?,Random access,Inserting key-value pairs,Sorting elements,Filtering data,Inserting key-value pairs,Core functionality.
map,What is a limitation of maps?,Fast access,Memory overhead,Low memory usage,Simple design,Memory overhead,Depends on hash table size.
map,What language uses maps natively?,Python,SQL,HTML,CSS,Python,Built-in dict type.
graph,What is a graph in data structures?,A hierarchical structure,A collection of nodes connected by edges,A sorted list,A hash table,A collection of nodes connected by edges,Models relationships.
graph,What is a type of graph?,Directed,Undirected,Both,Neither,Both,Depends on edge direction.
graph,What is a use case for graphs?,Random access,Social networks,Filtering data,Sorting data,Social networks,Represents connections.
graph,What is the time complexity of BFS on a graph?,O(V + E),O(V),O(E),O(V^2),O(V + E),V is vertices, E is edges.
graph,What is a limitation of graphs?,Fast access,Memory overhead,Low memory usage,Simple design,Memory overhead,Requires careful representation.
filter,What does the filter function do in programming?,Sorts data,Selects elements based on a condition,Compresses data,Encrypts data,Selects elements based on a condition,Returns a subset.
filter,What language commonly uses filter?,Python,SQL,HTML,CSS,Python,Built-in function.
filter,What is a use case for filter?,Random access,Data cleaning,Sorting data,Compressing data,Data cleaning,Removes unwanted elements.
filter,What is a benefit of filter?,Increased complexity,Conciseness,More memory usage,Slower execution,Conciseness,Simplifies logic.
filter,What is a limitation of filter?,Improved performance,Iterator-based,Low memory usage,Fast execution,Iterator-based,May require conversion.
exception,What is an exception in programming?,A loop structure,An error event during execution,A data type,A sorting algorithm,An error event during execution,Disrupts normal flow.
exception,What keyword throws an exception in Java?,throw,throws,try,catch,throw,Triggers an error.
exception,What is a use case for exceptions?,Random access,Error handling,Filtering data,Sorting data,Error handling,Manages runtime issues.
exception,What is a benefit of exceptions?,Increased complexity,Robustness,More memory usage,Slower execution,Robustness,Prevents crashes.
exception,What is a limitation of exceptions?,Improved performance,Performance overhead,Low memory usage,Fast execution,Performance overhead,Try-catch cost.
constructor,What is a constructor in OOP?,A method called when an object is created,A loop structure,A data type,A sorting algorithm,A method called when an object is created,Initializes objects.
constructor,What is the name of a constructor in Java?,Same as class name,init,create,new,Same as class name,No return type.
constructor,What is a use case for constructors?,Random access,Initializing objects,Filtering data,Sorting data,Initializing objects,Sets initial state.
constructor,What is a benefit of constructors?,Increased complexity,Automatic initialization,More memory usage,Slower execution,Automatic initialization,Ensures proper setup.
constructor,What is a limitation of constructors?,Improved performance,Lack of flexibility,Low memory usage,Fast execution,Lack of flexibility,Fixed signature.
binary tree,What is a binary tree in data structures?,A tree where each node has at most two children,A linear list,A sorted array,A graph structure,A tree where each node has at most two children,Left and right children.
binary tree,What is the maximum number of children in a binary tree?,Any number,Two,Three,Four,Two,Defines the binary property.
binary tree,What is a use case for binary trees?,Random access,Expression parsing,Filtering data,Sorting data,Expression parsing,Represents hierarchies.
binary tree,What is the time complexity of searching in a balanced binary tree?,O(n),O(log n),O(n^2),O(1),O(log n),Balanced structure.
binary tree,What is a limitation of binary trees?,Fast access,Unbalanced trees,Low memory usage,Simple design,Unbalanced trees,May degrade to O(n).
class template,What is a class template in C++?,A loop structure,A blueprint for creating generic classes,A data type,A sorting algorithm,A blueprint for creating generic classes,Same as template.
class template,What keyword defines a class template in C++?,template,class,struct,enum,template,Precedes the definition.
class template,What is a benefit of using class templates?,Increased complexity,Type safety,More memory usage,Slower execution,Type safety,Ensures compile-time checks.
class template,What is a use case for class templates?,Fixed data,Generic programming,Random access,Filtering data,Generic programming,Creates reusable code.
class template,What is a limitation of class templates?,Improved performance,Code bloat,Low memory usage,Fast execution,Code bloat,Generates multiple instantiations.
global variable,What is a global variable in programming?,A variable scoped to a function,A variable accessible throughout the program,A loop variable,A data type,A variable accessible throughout the program,Defined outside functions.
