Concept,Question,Option One,Option Two,Option Three,Option Four,Correct Answer,Note,Explanation
AI,What is the Turing Test used for?,Testing hardware,Evaluating machine intelligence,Measuring memory,Benchmarking software,Evaluating machine intelligence,The Turing Test assesses whether a machine can exhibit indistinguishable human-like responses.,"The Turing Test, proposed by Alan Turing, evaluates a machine’s ability to exhibit behavior indistinguishable from that of a human. It remains a foundational concept in evaluating machine intelligence and progress in AI."
AI,What is overfitting in machine learning?,Perfect generalization,Too much focus on training data,Undertraining the model,Balanced learning,Too much focus on training data,"Overfitting leads to poor performance on new, unseen data.","Overfitting occurs when a machine learning model learns the training data too well, capturing noise and outliers rather than the underlying pattern. As a result, the model performs well on training data but poorly on new, unseen data, leading to reduced generalization capability."
AI,Which of the following is a type of AI?,Weak AI,Strong AI,Both Weak and Strong AI,None of the above,Both Weak and Strong AI,AI is classified into weak (narrow) and strong (general) AI.,"Artificial Intelligence is categorized into Weak AI — systems designed to perform specific tasks — and Strong AI — theoretical systems capable of understanding, reasoning, and applying intelligence across diverse domains like humans. Most current AI systems fall under Weak AI."
AI,What is generative AI?,AI that classifies existing data,AI that generates new content,AI that deletes irrelevant data,AI that stores historical data,AI that generates new content,"Generative AI creates new data like text, images, or music.","Generative AI refers to models that create new content such as text, images, audio, or code. Examples include GPT for text generation and DALL-E for image creation. Generative models learn the underlying distribution of data and synthesize new instances based on that knowledge."
AI,What is a common ethical concern with AI?,Faster execution,Bias in training data,Simpler design,Lower costs,Bias in training data,Biased data can lead to unfair or discriminatory AI decisions.,"AI systems learn from data, and if the training data contains biases, the AI will likely replicate those biases in its decisions. This raises serious ethical concerns in areas like hiring, lending, law enforcement, and healthcare, where biased decisions can have significant consequences."
AI,What is the purpose of training data in AI?,To test final performance,To build the model,To delete unnecessary data,To compress data,To build the model,Training data teaches the AI to recognize patterns and make decisions.,"Training data is the foundation of machine learning. It consists of input-output pairs used to train AI models so they can learn patterns and generalize to new data. Without high-quality training data, AI models cannot perform reliably or fairly."
AI,What is a validation set in AI?,Used to test final model performance,Used to tune hyperparameters,Used to store model weights,Used to visualize data,Used to tune hyperparameters,Validation sets help prevent overfitting by fine-tuning model settings.,A validation set is used during model development to evaluate different configurations and select the best-performing model. It helps developers adjust hyperparameters and choose features that enhance performance without exposing the model to test data prematurely.
AI,What is a test set in AI?,Used to train the model,Used to evaluate final model performance,Used to debug code,Used to optimize training,Used to evaluate final model performance,Test sets measure how well the AI performs on unseen data.,"The test set is a portion of data not used during training or validation. It is reserved to give an unbiased evaluation of the final model's performance. This ensures the AI can generalize well to new, real-world data."
AI,What is one of the main goals of AI?,Increase energy consumption,Mimic human intelligence,Reduce computing power,Limit automation,Mimic human intelligence,AI seeks to replicate human cognitive abilities like learning and reasoning.,"One of the central goals of AI is to develop systems that can emulate aspects of human intelligence, such as perception, reasoning, planning, and learning. This includes both narrow tasks like voice recognition and broader capabilities like decision-making in uncertain environments."
AI,Which of the following is an example of Narrow AI?,General-purpose robot,Self-driving cars,Autonomous agents,Chess-playing AI,Chess-playing AI,Narrow AI is built for specific tasks like chess or speech recognition.,"Narrow AI (or Weak AI) is designed to perform a single task extremely well, such as playing chess, translating languages, or recommending products. These systems do not possess general awareness or consciousness and operate within defined boundaries."
